rouge.png;Rouge;rouge
bleu.png;Bleu;bleu
vert.png;Vert;ver
jaune.png;Jaune;jaune
papa.png;Papa;pa,pa
maman.png;Maman;ma,man
bebe.png;Bébé;bé,bé
garcon.png;Garçon;gar,çon
fille.png;Fille;fi,ye
bonjour.png;Bonjour;bon,jour
merci.png;Merci;mer,ci
oui.png;Oui;oui
non.png;Non;non
encore.png;Encore;en,co,re
fini.png;Fini;fi,ni
papi.png;Papi;pa,pi
mamie.png;Mamie;ma,mie
frere.png;Frère;frè,re
soeur.png;Sœur;sœur
ami.png;Ami;a,mi
grand.png;Grand;gran
petit.png;Petit;pe,ti
chaud.png;Chaud;chau
froid.png;Froid;froi
beau.png;Beau;beau
moche.png;Moche;moche
propre.png;Propre;pro,pre
sale.png;Sale;sa,le
vite.png;Vite;vi,te
lent.png;Lent;lan
content.png;Content;con,tan
triste.png;Triste;tris,te
gentil.png;Gentil;jan,ti
mechant.png;Méchant;mé,chan
doux.png;Doux;dou
dur.png;Dur;dur
lourd.png;Lourd;lour
leger.png;Léger;lé,ger
haut.png;Haut;hau
bas.png;Bas;ba
bon.png;Bon;bon
mauvais.png;Mauvais;mau,vais
nouveau.png;Nouveau;nou,veau
vieux.png;Vieux;vieux
mouille.png;Mouillé;mou,yé
sec.png;Sec;sec
un.png;Un;un
deux.png;Deux;deux
trois.png;Trois;troi
quatre.png;Quatre;qua,tre
cinq.png;Cinq;cinq
rond.png;Rond;ron
carre.png;Carré;ca,rré
triangle.png;Triangle;tri,an,gle
fete.png;Fête;fê,te
